序号,数据库,问题,Gold SQL,预测 SQL,正确执行结果,实际执行结果,耗时(s),结果匹配(修正),SQL精确匹配,结果匹配(原始),失败原因,错误信息
1,concert_singer,How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,6,6,35.64,True,True,False,,
2,concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,6,6,29.38,True,True,False,,
3,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC LIMIT 100","Name	Country	Age
Joe Sharp	Netherlands	52
John Nizinik	France	43
Rose White	France	41
Timbaland	United States	32
Justin Brown	France	29
... (6 rows total)","Name	Country	Age
Joe Sharp	Netherlands	52
John Nizinik	France	43
Rose White	France	41
Timbaland	United States	32
Justin Brown	France	29
... (6 rows total)",30.8,True,False,True,,
4,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC LIMIT 100","Name	Country	Age
Joe Sharp	Netherlands	52
John Nizinik	France	43
Rose White	France	41
Timbaland	United States	32
Justin Brown	France	29
... (6 rows total)","Name	Country	Age
Joe Sharp	Netherlands	52
John Nizinik	France	43
Rose White	France	41
Timbaland	United States	32
Justin Brown	France	29
... (6 rows total)",31.84,True,False,True,,
5,concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM singer WHERE Country = 'France'","avg(age)	min(age)	max(age)
34.5	25	43","average_age	minimum_age	maximum_age
34.5	25	43",29.26,True,False,False,,
6,concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM singer WHERE Country = 'French'","avg(age)	min(age)	max(age)
34.5	25	43","average_age	minimum_age	maximum_age
None	None	None",30.67,False,False,False,列别名差异,
7,concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Age = (SELECT MIN(Age) FROM singer)
LIMIT 100","Song_Name	Song_release_year
Love	2016","Song_Name	Song_release_year
Love	2016",31.28,True,False,True,,
8,concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Age = (SELECT MIN(Age) FROM singer)
LIMIT 100","Song_Name	Song_release_year
Love	2016","Song_Name	Song_release_year
Love	2016",28.07,True,False,True,,
9,concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,"SELECT DISTINCT Country
FROM singer
WHERE Age > 20
LIMIT 100","Country
Netherlands
United States
France","Country
Netherlands
United States
France",30.01,True,False,True,,
10,concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,"SELECT DISTINCT Country
FROM singer
WHERE Age > 20
LIMIT 100","Country
Netherlands
United States
France","Country
Netherlands
United States
France",29.54,True,False,True,,
11,concert_singer,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, COUNT(*) AS singer_count FROM singer GROUP BY Country","Country	count(*)
France	4
Netherlands	1
United States	1","Country	singer_count
France	4
Netherlands	1
United States	1",28.97,True,False,False,,
12,concert_singer,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country, COUNT(*) AS singer_count FROM singer GROUP BY Country","Country	count(*)
France	4
Netherlands	1
United States	1","Country	singer_count
France	4
Netherlands	1
United States	1",29.85,True,False,False,,
